게임아이디,서버,직업,순위
포맨,연,전사,1
신이내린한분,연,전사,2
바리스타,연,전사,3
호불팔,연,전사,4
조루,연,전사,5
룬비연,연,전사,6
유하,연,전사,7
비화,연,전사,8
사탕,연,전사,9
사계절,연,전사,10
긴체,연,도적,1
식객,연,도적,2
악동최민혁,연,도적,3
군주,연,도적,4
신검,연,도적,5
비책,연,도적,6
르결,연,도적,7
패브,연,도적,8
풍예랑,연,도적,9
험무리,연,도적,10
여래,연,주술사,1
특명접수,연,주술사,2
라임초,연,주술사,3
대설령,연,주술사,4
장미,연,주술사,5
바태식,연,주술사,6
한방,연,주술사,7
슈퍼타워,연,주술사,8
타코,연,주술사,9
토끼당,연,주술사,10
정령,연,도사,1
냠심,연,도사,2
그븐,연,도사,3
율시,연,도사,4
미초바,연,도사,5
주황색,연,도사,6
휴린,연,도사,7
상담,연,도사,8
우웅,연,도사,9
귀문킬러,연,도사,10
정리,연,궁사,1
빈지노,연,궁사,2
김망붕,연,궁사,3
설마,연,궁사,4
세련,연,궁사,5
연우,연,궁사,6
마크,연,궁사,7
착송,연,궁사,8
비화이,연,궁사,9
쏜당,연,궁사,10
카이엔,연,천인,1
반지,연,천인,2
광휘,연,천인,3
더갓,연,천인,4
검귀,연,천인,5
기백,연,천인,6
검압,연,천인,7
이번,연,천인,8
괴물,연,천인,9
항일,연,천인,10
느좋,연,마도사,1
나깅,연,마도사,2
조드,연,마도사,3
시시,연,마도사,4
새봄비,연,마도사,5
서비,연,마도사,6
수시,연,마도사,7
나연,연,마도사,8
클리토리스,연,마도사,9
개누리,연,마도사,10
하이용이,연,영술사,1
암소,연,영술사,2
태미,연,영술사,3
아세토코르사,연,영술사,4
달빛놀이,연,영술사,5
영상구,연,영술사,6
호랑,연,영술사,7
언더워터,연,영술사,8
라료,연,영술사,9
민아원,연,영술사,10
연합,연,차사,1
비룡,연,차사,2
뚱어,연,차사,3
싸가지없는냔,연,차사,4
검토,연,차사,5
델타,연,차사,6
사천,연,차사,7
찡찡,연,차사,8
파이어에그,연,차사,9
지디,연,차사,10
에페모,연,살수,1
투황,연,살수,2
까르보,연,살수,3
살낫,연,살수,4
따람이,연,살수,5
무심,연,살수,6
은서빠,연,살수,7
우주공,연,살수,8
살숭,연,살수,9
연옥구겸,연,살수,10
척곤,무휼,전사,1
성심,무휼,전사,2
묻더,무휼,전사,3
또준,무휼,전사,4
연민성,무휼,전사,5
채굴왕혁이,무휼,전사,6
벚꽃,무휼,전사,7
무사의검기,무휼,전사,8
강수성,무휼,전사,9
린룽,무휼,전사,10
강수세미,무휼,도적,1
사신,무휼,도적,2
머니넘조아,무휼,도적,3
테라,무휼,도적,4
영혼,무휼,도적,5
불커,무휼,도적,6
유원지,무휼,도적,7
미스,무휼,도적,8
역전,무휼,도적,9
로로,무휼,도적,10
염병대마왕,무휼,주술사,1
아세르비스,무휼,주술사,2
들호,무휼,주술사,3
앨브,무휼,주술사,4
기포기,무휼,주술사,5
시기,무휼,주술사,6
체리,무휼,주술사,7
방아깨비,무휼,주술사,8
낭락,무휼,주술사,9
차무식,무휼,주술사,10
겨울,무휼,도사,1
쑤피,무휼,도사,2
적화,무휼,도사,3
포터,무휼,도사,4
천사얌,무휼,도사,5
시치미,무휼,도사,6
미인이다,무휼,도사,7
영원,무휼,도사,8
광택,무휼,도사,9
조광,무휼,도사,10
찐함,무휼,궁사,1
상금,무휼,궁사,2
룡궁,무휼,궁사,3
한나,무휼,궁사,4
리츠,무휼,궁사,5
벽리,무휼,궁사,6
헛지,무휼,궁사,7
칸로지,무휼,궁사,8
유소망,무휼,궁사,9
설경구,무휼,궁사,10
장동건,무휼,천인,1
하지마하지마,무휼,천인,2
천리스타,무휼,천인,3
연투,무휼,천인,4
반요이누야샤,무휼,천인,5
밥도둑,무휼,천인,6
때리지마라염,무휼,천인,7
원지원지,무휼,천인,8
훔뱌,무휼,천인,9
애라찡,무휼,천인,10
꽃블리,무휼,마도사,1
기퍼,무휼,마도사,2
머니넘레이드,무휼,마도사,3
참새와독수리,무휼,마도사,4
루놀,무휼,마도사,5
능강,무휼,마도사,6
심보늬,무휼,마도사,7
마도포기,무휼,마도사,8
데탑,무휼,마도사,9
폐인,무휼,마도사,10
유이설,무휼,영술사,1
진레이니아,무휼,영술사,2
으으,무휼,영술사,3
자라,무휼,영술사,4
곱네,무휼,영술사,5
가봉,무휼,영술사,6
철쭉,무휼,영술사,7
핑꾸퐁,무휼,영술사,8
기어,무휼,영술사,9
쏘우,무휼,영술사,10
신라,무휼,차사,1
미문랑,무휼,차사,2
섹차,무휼,차사,3
흑령만년원귀,무휼,차사,4
아레투사,무휼,차사,5
아랑,무휼,차사,6
핑쿠퐁,무휼,차사,7
데여,무휼,차사,8
꼬추,무휼,차사,9
히바리,무휼,차사,10
겸존,무휼,살수,1
퐁크핑,무휼,살수,2
앤드류테이트,무휼,살수,3
쫄지마쫄지마,무휼,살수,4
짜여,무휼,살수,5
키눌,무휼,살수,6
에일로이,무휼,살수,7
박미혜사랑해,무휼,살수,8
클롬,무휼,살수,9
힝겸,무휼,살수,10
리듬,유리,전사,1
아야짱,유리,전사,2
팬더,유리,전사,3
산냥이,유리,전사,4
다마,유리,전사,5
고리의도시,유리,전사,6
애니,유리,전사,7
쌍칼,유리,전사,8
경환,유리,전사,9
난동,유리,전사,10
싸이코,유리,도적,1
젠틀,유리,도적,2
임프,유리,도적,3
교당,유리,도적,4
제독,유리,도적,5
블루,유리,도적,6
금천지인패,유리,도적,7
민지,유리,도적,8
작은향,유리,도적,9
술퍼,유리,도적,10
자두,유리,주술사,1
강산,유리,주술사,2
날때,유리,주술사,3
츠카,유리,주술사,4
에로,유리,주술사,5
회상,유리,주술사,6
핵터,유리,주술사,7
사과,유리,주술사,8
수장,유리,주술사,9
구구단김세정,유리,주술사,10
만두,유리,도사,1
허니,유리,도사,2
키스,유리,도사,3
루루,유리,도사,4
영원,유리,도사,5
나무,유리,도사,6
요정,유리,도사,7
뽀야,유리,도사,8
필드,유리,도사,9
빈끼,유리,도사,10
와인,유리,궁사,1
라라,유리,궁사,2
우유,유리,궁사,3
한조,유리,궁사,4
라면,유리,궁사,5
조그맨,유리,궁사,6
동도나나나,유리,궁사,7
궁수,유리,궁사,8
연사,유리,궁사,9
토게,유리,궁사,10
검도,유리,천인,1
뽀뽀,유리,천인,2
잭스,유리,천인,3
아리,유리,천인,4
악동,유리,천인,5
릴리,유리,천인,6
체리,유리,천인,7
예토,유리,천인,8
칵텔,유리,천인,9
설매,유리,천인,10
이별,유리,마도사,1
청록마녀,유리,마도사,2
신라라실,유리,마도사,3
달디,유리,마도사,4
내일도달려,유리,마도사,5
해골,유리,마도사,6
자동,유리,마도사,7
마릭,유리,마도사,8
변이빵빵,유리,마도사,9
여름,유리,마도사,10
제트,유리,영술사,1
로포피,유리,영술사,2
다니,유리,영술사,3
청록신녀,유리,영술사,4
광양,유리,영술사,5
쌈바디,유리,영술사,6
서채,유리,영술사,7
우주인,유리,영술사,8
복귀한청풍,유리,영술사,9
바니,유리,영술사,10
별빛,유리,차사,1
흑승,유리,차사,2
순수,유리,차사,3
현실,유리,차사,4
울산너구리,유리,차사,5
리븐,유리,차사,6
힐미,유리,차사,7
귀신,유리,차사,8
저저저,유리,차사,9
진프로,유리,차사,10
냐옹,유리,살수,1
행님,유리,살수,2
외쳐,유리,살수,3
유스케,유리,살수,4
조로,유리,살수,5
용암,유리,살수,6
샤이,유리,살수,7
보리보리쌀밥,유리,살수,8
보스,유리,살수,9
훈남,유리,살수,10
비폭,하자,전사,1
쉬프터,하자,전사,2
새벽,하자,전사,3
관우,하자,전사,4
보스,하자,전사,5
야옹,하자,전사,6
전설이었음,하자,전사,7
제라드,하자,전사,8
은범,하자,전사,9
풍룡,하자,전사,10
노모냐고,하자,도적,1
슬로건,하자,도적,2
조커,하자,도적,3
히든,하자,도적,4
기본,하자,도적,5
유협,하자,도적,6
공유,하자,도적,7
그표,하자,도적,8
초록하늘,하자,도적,9
지게,하자,도적,10
루트,하자,주술사,1
소녀,하자,주술사,2
눈동자,하자,주술사,3
무부,하자,주술사,4
염탄,하자,주술사,5
홍추,하자,주술사,6
대적,하자,주술사,7
노력,하자,주술사,8
벌양,하자,주술사,9
기엽징,하자,주술사,10
조이,하자,도사,1
서련,하자,도사,2
나고,하자,도사,3
임포,하자,도사,4
클럽,하자,도사,5
치즈,하자,도사,6
씩씩,하자,도사,7
검사,하자,도사,8
천마님의기원,하자,도사,9
너편,하자,도사,10
비폭,하자,궁사,1
쉬프터,하자,궁사,2
새벽,하자,궁사,3
관우,하자,궁사,4
보스,하자,궁사,5
야옹,하자,궁사,6
전설이었음,하자,궁사,7
제라드,하자,궁사,8
은범,하자,궁사,9
풍룡,하자,궁사,10
인연,하자,천인,1
선율,하자,천인,2
라선,하자,천인,3
규비,하자,천인,4
시밤이,하자,천인,5
채널,하자,천인,6
히어로,하자,천인,7
갤럭시,하자,천인,8
청발,하자,천인,9
찌뽕,하자,천인,10
초선,하자,마도사,1
얄미미,하자,마도사,2
능강,하자,마도사,3
트름,하자,마도사,4
니켈의헤임달,하자,마도사,5
무부마도,하자,마도사,6
물총,하자,마도사,7
거미,하자,마도사,8
커피,하자,마도사,9
예리나,하자,마도사,10
보물,하자,영술사,1
얻어걸린돌,하자,영술사,2
아라따리,하자,영술사,3
개팬다리,하자,영술사,4
용뿔,하자,영술사,5
애울,하자,영술사,6
스모커,하자,영술사,7
도도요,하자,영술사,8
마너,하자,영술사,9
김살,하자,영술사,10
바보,하자,차사,1
차쪼,하자,차사,2
마트,하자,차사,3
첫강,하자,차사,4
치타,하자,차사,5
그대,하자,차사,6
정연,하자,차사,7
까칠흔녀,하자,차사,8
흥분함,하자,차사,9
진도준,하자,차사,10
초랑별,하자,살수,1
쌀쑤,하자,살수,2
이계낫,하자,살수,3
눈오리,하자,살수,4
낫살,하자,살수,5
옥빛나,하자,살수,6
살연,하자,살수,7
양다연,하자,살수,8
조교,하자,살수,9
서울또로,하자,살수,10
카이엔,호동,전사,1
반지,호동,전사,2
광휘,호동,전사,3
더갓,호동,전사,4
검귀,호동,전사,5
기백,호동,전사,6
검압,호동,전사,7
이번,호동,전사,8
괴물,호동,전사,9
항일,호동,전사,10
재회,호동,도적,1
민지,호동,도적,2
바보,호동,도적,3
민수,호동,도적,4
퓨면,호동,도적,5
월유화,호동,도적,6
막비,호동,도적,7
사신,호동,도적,8
리신장인,호동,도적,9
반근,호동,도적,10
천국의달,호동,주술사,1
경환,호동,주술사,2
미아,호동,주술사,3
국밥,호동,주술사,4
걍산,호동,주술사,5
낼름,호동,주술사,6
윤현우,호동,주술사,7
탑미르,호동,주술사,8
리트머스,호동,주술사,9
비수,호동,주술사,10
악동,호동,도사,1
케일러,호동,도사,2
붉도,호동,도사,3
뽀얀,호동,도사,4
다이,호동,도사,5
리포머,호동,도사,6
스타,호동,도사,7
금강,호동,도사,8
여우,호동,도사,9
채화,호동,도사,10
태풍,호동,궁사,1
대소,호동,궁사,2
도급,호동,궁사,3
코데,호동,궁사,4
건총,호동,궁사,5
부산,호동,궁사,6
여챠,호동,궁사,7
깜아,호동,궁사,8
로밍,호동,궁사,9
궁술,호동,궁사,10
긔용,호동,천인,1
소망,호동,천인,2
추노,호동,천인,3
을두지,호동,천인,4
구마유시,호동,천인,5
우쭈쭈시루떡,호동,천인,6
예수,호동,천인,7
천의비상,호동,천인,8
고위지인,호동,천인,9
당구광,호동,천인,10
느좋,호동,마도사,1
나깅,호동,마도사,2
조드,호동,마도사,3
시시,호동,마도사,4
새봄비,호동,마도사,5
서비,호동,마도사,6
수시,호동,마도사,7
나연,호동,마도사,8
클리토리스,호동,마도사,9
개누리,호동,마도사,10
하이용이,호동,영술사,1
암소,호동,영술사,2
태미,호동,영술사,3
아세토코르사,호동,영술사,4
달빛놀이,호동,영술사,5
영상구,호동,영술사,6
호랑,호동,영술사,7
언더워터,호동,영술사,8
라료,호동,영술사,9
민아원,호동,영술사,10
연합,호동,차사,1
비룡,호동,차사,2
뚱어,호동,차사,3
싸가지없는냔,호동,차사,4
검토,호동,차사,5
델타,호동,차사,6
사천,호동,차사,7
찡찡,호동,차사,8
파이어에그,호동,차사,9
지디,호동,차사,10
에페모,호동,살수,1
투황,호동,살수,2
까르보,호동,살수,3
살낫,호동,살수,4
따람이,호동,살수,5
무심,호동,살수,6
은서빠,호동,살수,7
우주공,호동,살수,8
살숭,호동,살수,9
연옥구겸,호동,살수,10
늑대,진,전사,1
무기,진,전사,2
김감자,진,전사,3
탕롱돌동,진,전사,4
세인트가드,진,전사,5
체벌,진,전사,6
리마수타,진,전사,7
크루루로룩,진,전사,8
지깅,진,전사,9
크로아상,진,전사,10
이별,진,도적,1
조조,진,도적,2
카토,진,도적,3
총수,진,도적,4
신디,진,도적,5
이매,진,도적,6
정성,진,도적,7
하느미,진,도적,8
도고적,진,도적,9
민첩한대머리,진,도적,10
시즐,진,주술사,1
사신,진,주술사,2
헬로방방이,진,주술사,3
김태희,진,주술사,4
패자,진,주술사,5
영잼,진,주술사,6
룽지,진,주술사,7
악똥,진,주술사,8
그린비트,진,주술사,9
이세계유학파,진,주술사,10
휴지통비우기,진,도사,1
미소,진,도사,2
포도,진,도사,3
김베리,진,도사,4
파도,진,도사,5
하나,진,도사,6
우산,진,도사,7
순후추,진,도사,8
챔잼,진,도사,9
리지아,진,도사,10
질투,진,궁사,1
황매화,진,궁사,2
릴릿궁,진,궁사,3
법뚜껑,진,궁사,4
저격,진,궁사,5
우주,진,궁사,6
머쉬,진,궁사,7
박꿍사,진,궁사,8
그까이꺼,진,궁사,9
차카니,진,궁사,10
스탁,진,천인,1
황천행,진,천인,2
바보야,진,천인,3
천십십사기,진,천인,4
쏭이,진,천인,5
삽살개,진,천인,6
모나양,진,천인,7
마키나,진,천인,8
시리피스,진,천인,9
상무천,진,천인,10
블랙,진,마도사,1
진실,진,마도사,2
프리,진,마도사,3
김연아존예,진,마도사,4
메에,진,마도사,5
네코광폭,진,마도사,6
마뚜껑,진,마도사,7
시리스,진,마도사,8
아카츠키버프,진,마도사,9
버프내놔,진,마도사,10
피트,진,영술사,1
신주,진,영술사,2
차크라,진,영술사,3
유난,진,영술사,4
태구,진,영술사,5
의식,진,영술사,6
현신,진,영술사,7
사스케,진,영술사,8
귀법,진,영술사,9
일라,진,영술사,10
죠쓰,진,차사,1
래자,진,차사,2
당월,진,차사,3
사신삼,진,차사,4
소수,진,차사,5
깡철,진,차사,6
케뽀,진,차사,7
동계,진,차사,8
혜카,진,차사,9
미아리,진,차사,10
바견아,진,살수,1
바나낫,진,살수,2
차밍,진,살수,3
참수,진,살수,4
마피아빈센조,진,살수,5
명쾌,진,살수,6
포비츠,진,살수,7
자체,진,살수,8
수고,진,살수,9
디귿,진,살수,10
