character_name,character_date_create,character_create_type_name,character_class_name,character_nation_name,character_gender,character_exp,character_level,server_name,job
포맨,2015-10-18T02:20:37.25Z,캐릭터_일반,전사,부여,M,2.6642123164765604e+18,899,연,전사
신이내린한분,2008-09-03T10:04:19Z,캐릭터_일반,전사,고구려,M,8588192448074138.0,899,연,전사
바리스타,2016-01-17T00:50:13Z,캐릭터_일반,전사,부여,M,7.269350553065193e+17,899,연,전사
호불팔,2017-04-10T13:14:06Z,캐릭터_일반,전사,고구려,F,6.066964041577893e+17,899,연,전사
조루,2022-12-21T14:05:28.25Z,캐릭터_일반,전사,부여,M,1.73457590157024e+18,899,연,전사
룬비연,2023-03-03T05:43:32.125Z,캐릭터_일반,전사,부여,F,1.2238811309563914e+18,899,연,전사
유하,2021-02-05T18:14:42.5Z,캐릭터_일반,전사,부여,M,5.999974960023136e+17,899,연,전사
비화,2012-05-22T14:12:21.375Z,캐릭터_일반,전사,부여,M,1.5512129545363487e+18,899,연,전사
사탕,2019-07-25T14:26:03.375Z,캐릭터_일반,전사,고구려,M,1.50691974736986e+16,899,연,전사
사계절,2022-07-24T10:14:58.875Z,캐릭터_일반,전사,부여,M,1.247409925309644e+18,899,연,전사
긴체,2022-09-20T12:53:05.125Z,캐릭터_일반,도적,고구려,M,3.4556683059629184e+17,899,연,도적
식객,2009-07-05T03:29:11.375Z,캐릭터_일반,도적,고구려,M,1617765165271734.0,899,연,도적
악동최민혁,2019-03-30T13:15:55.875Z,캐릭터_일반,도적,부여,M,6.300008855826901e+16,899,연,도적
군주,2009-07-23T15:13:03Z,캐릭터_일반,도적,고구려,M,1.9354999184146364e+16,899,연,도적
신검,2018-01-03T10:12:35.25Z,캐릭터_일반,도적,부여,M,5.6082348185091494e+17,899,연,도적
비책,2005-07-23T04:39:44Z,캐릭터_일반,도적,고구려,M,9.650015727264646e+16,899,연,도적
르결,2016-12-10T00:46:07.375Z,캐릭터_일반,도적,고구려,F,3.587938593240197e+17,899,연,도적
패브,2000-12-21T11:53:55Z,캐릭터_일반,도적,고구려,M,2.167847093384125e+16,899,연,도적
풍예랑,2003-04-21T00:51:03Z,캐릭터_일반,도적,고구려,M,547578155389354.0,899,연,도적
험무리,2018-03-13T11:03:37.75Z,캐릭터_일반,도적,부여,M,1732708971993924.0,899,연,도적
여래,2015-04-10T07:20:41.125Z,캐릭터_일반,주술사,고구려,F,6.500979781363164e+17,899,연,주술사
특명접수,2019-08-19T09:03:13Z,캐릭터_일반,주술사,부여,M,7.573236912766244e+17,899,연,주술사
라임초,2009-11-26T09:22:57Z,캐릭터_일반,주술사,고구려,M,8.868263542492813e+17,899,연,주술사
대설령,2023-01-11T11:39:08.375Z,캐릭터_일반,주술사,부여,M,2470519716726211.0,899,연,주술사
장미,2022-11-16T12:29:21.875Z,캐릭터_일반,주술사,고구려,M,1.239777718204547e+18,899,연,주술사
바태식,2023-11-20T10:20:38.375Z,캐릭터_일반,주술사,고구려,M,1.563026292417442e+17,899,연,주술사
한방,2001-04-04T08:57:22Z,캐릭터_일반,주술사,부여,F,3183754422481883.0,899,연,주술사
슈퍼타워,2015-12-18T11:15:04.375Z,캐릭터_일반,주술사,고구려,M,1.953317338640925e+16,899,연,주술사
타코,2022-11-27T13:45:53.625Z,캐릭터_일반,주술사,부여,M,2.8823102244749388e+16,899,연,주술사
토끼당,2012-12-20T12:15:05.625Z,캐릭터_일반,주술사,고구려,M,2.201745094373392e+16,899,연,주술사
정령,2013-07-20T04:53:03Z,캐릭터_일반,도사,부여,M,6.304083406096577e+17,899,연,도사
냠심,2019-08-24T08:58:43.75Z,캐릭터_일반,도사,고구려,F,5.983710965054668e+16,899,연,도사
그븐,2018-06-11T02:40:57.5Z,캐릭터_일반,도사,부여,M,381681491172393.0,899,연,도사
율시,2006-11-21T09:05:29Z,캐릭터_일반,도사,고구려,M,613993546685429.0,899,연,도사
미초바,2005-03-09T12:10:27Z,캐릭터_일반,도사,부여,F,7.130130501651112e+17,899,연,도사
주황색,2008-11-07T10:06:52Z,캐릭터_일반,도사,부여,M,6.170604627809644e+17,899,연,도사
휴린,2021-05-08T13:03:38.625Z,캐릭터_일반,도사,고구려,F,1.4712315376209302e+17,899,연,도사
상담,2004-09-28T18:03:35Z,캐릭터_일반,도사,부여,M,2.66058282674456e+18,899,연,도사
우웅,2019-09-29T00:04:22.125Z,캐릭터_일반,도사,부여,M,1.0461281733976726e+18,899,연,도사
귀문킬러,2006-10-04T13:26:06Z,캐릭터_일반,도사,부여,M,4.607313145683026e+16,899,연,도사
정리,2024-05-19T13:04:17.625Z,캐릭터_일반,궁사,부여,M,3.073897863838176e+17,899,연,궁사
빈지노,2015-02-02T10:11:20.375Z,캐릭터_일반,궁사,부여,M,1.0530000751901594e+18,899,연,궁사
김망붕,2009-05-28T21:07:52.5Z,캐릭터_일반,궁사,부여,M,1.0502944279204048e+16,899,연,궁사
설마,2012-04-27T16:12:22.75Z,캐릭터_일반,궁사,고구려,M,2.2289211499918964e+16,899,연,궁사
세련,2017-12-27T10:38:00.625Z,캐릭터_일반,궁사,부여,F,2.3215704970889264e+17,899,연,궁사
연우,2020-01-07T11:15:38.875Z,캐릭터_일반,궁사,고구려,M,5.0639263493539896e+16,899,연,궁사
마크,2023-08-05T06:00:17.875Z,캐릭터_일반,궁사,부여,M,332362338559720.0,899,연,궁사
착송,2022-12-23T17:09:12.875Z,캐릭터_일반,궁사,고구려,M,3.536263615752767e+16,899,연,궁사
비화이,2022-12-21T16:22:13.875Z,캐릭터_일반,궁사,고구려,M,4.875231356480356e+17,899,연,궁사
쏜당,2023-02-11T13:25:50.125Z,캐릭터_일반,궁사,부여,M,2.5495493631771e+16,899,연,궁사
반지,2003-01-31T20:07:26Z,캐릭터_일반,주술사,고구려,M,4294967295.0,99,연,천인
광휘,2008-09-13T12:56:58Z,캐릭터_일반,도적,고구려,F,228499966624.0,532,연,천인
검귀,2024-06-10T05:03:05Z,캐릭터_일반,천인,부여,M,2.6953086137569574e+17,858,연,천인
이번,2013-12-22T00:30:12.5Z,캐릭터_일반,주술사,고구려,M,34267554675802.0,740,연,천인
괴물,,캐릭터_일반,천인,고구려,M,286902033.0,630,연,천인
느좋,2024-10-03T16:32:38.61Z,캐릭터_일반,도사,,M,,1,연,마도사
시시,,캐릭터_일반,도사,고구려,F,4544890733.0,544,연,마도사
서비,,캐릭터_일반,전사,고구려,M,80282595.0,510,연,마도사
나연,2017-04-21T23:52:02.625Z,캐릭터_일반,주술사,고구려,M,1.0214317953816547e+17,899,연,마도사
호랑,2006-07-24T16:27:36Z,캐릭터_일반,궁사,고구려,M,1.1794241808533573e+18,898,연,영술사
연합,2025-01-27T05:48:43.625Z,캐릭터_일반,차사,고구려,M,4.140429190284748e+17,810,연,차사
비룡,2024-07-11T04:46:06.5Z,캐릭터_일반,차사,고구려,M,9.054625371702357e+16,856,연,차사
척곤,2020-05-31T12:57:37.375Z,캐릭터_일반,전사,고구려,M,1.5708578173493665e+18,899,무휼,전사
성심,2007-11-24T23:46:06Z,캐릭터_일반,전사,고구려,M,4.698510347831044e+17,899,무휼,전사
묻더,2009-11-16T02:42:53Z,캐릭터_일반,전사,고구려,M,3.112984606480919e+17,899,무휼,전사
또준,2014-09-11T18:40:41.25Z,캐릭터_일반,전사,부여,M,5.938831571558659e+16,888,무휼,전사
연민성,2023-09-14T14:37:55.125Z,캐릭터_일반,전사,부여,M,4.056342165552859e+16,888,무휼,전사
채굴왕혁이,2020-02-22T02:34:02.25Z,캐릭터_일반,전사,고구려,F,10180399801533.0,830,무휼,전사
벚꽃,2014-02-20T12:45:40Z,캐릭터_일반,전사,고구려,F,1.3382332354158859e+17,837,무휼,전사
무사의검기,2003-05-08T05:50:07Z,캐릭터_일반,전사,고구려,M,1.2849968472021858e+17,818,무휼,전사
강수성,2024-09-15T06:09:57.125Z,캐릭터_일반,전사,부여,M,1566619832456885.0,817,무휼,전사
린룽,2017-12-27T07:16:28.25Z,캐릭터_일반,전사,부여,M,5.817077154242902e+16,815,무휼,전사
강수세미,2022-12-27T09:15:59.375Z,캐릭터_일반,도적,부여,M,2.360878386875918e+17,899,무휼,도적
사신,2016-06-24T02:01:04.75Z,캐릭터_일반,도적,고구려,M,2.238536023372754e+16,899,무휼,도적
머니넘조아,2003-01-02T10:05:56Z,캐릭터_일반,도적,부여,M,9567044794076836.0,899,무휼,도적
테라,2005-12-30T17:09:56Z,캐릭터_일반,도적,고구려,M,1.7437123098277686e+17,899,무휼,도적
영혼,2004-09-28T17:55:33Z,캐릭터_일반,도적,고구려,M,2.957437234855774e+17,898,무휼,도적
불커,2002-08-22T05:52:32Z,캐릭터_일반,도적,고구려,M,7.586573498080795e+16,894,무휼,도적
유원지,2003-05-19T02:02:20Z,캐릭터_일반,도적,고구려,M,2.6519257362787523e+17,867,무휼,도적
미스,2004-09-28T17:18:06Z,캐릭터_일반,도적,부여,M,16507378866142.0,863,무휼,도적
역전,2005-08-05T07:41:11Z,캐릭터_일반,도적,고구려,M,2660412104581320.0,859,무휼,도적
로로,2020-05-14T18:13:39.25Z,캐릭터_일반,도적,고구려,M,7.934903580509955e+17,857,무휼,도적
염병대마왕,2003-01-14T13:12:20Z,캐릭터_일반,주술사,고구려,M,330055248773131.0,899,무휼,주술사
아세르비스,2010-03-24T17:19:35.375Z,캐릭터_일반,주술사,고구려,F,3494813526688639.0,899,무휼,주술사
들호,2001-09-30T13:02:08Z,캐릭터_일반,주술사,부여,M,5.779849558590181e+17,899,무휼,주술사
앨브,2003-03-16T04:07:54Z,캐릭터_일반,주술사,부여,F,1.416321789957102e+16,899,무휼,주술사
기포기,2019-08-30T16:13:03.625Z,캐릭터_일반,주술사,부여,F,1.1459386668587661e+18,899,무휼,주술사
시기,2017-11-14T21:26:06.625Z,캐릭터_일반,주술사,고구려,F,7142196788150926.0,895,무휼,주술사
체리,2008-10-07T15:13:35Z,캐릭터_일반,주술사,부여,F,7.895848221119826e+16,891,무휼,주술사
방아깨비,2004-09-28T10:51:22Z,캐릭터_일반,주술사,부여,M,2.3446850865164404e+16,890,무휼,주술사
낭락,2010-07-04T03:05:15.375Z,캐릭터_일반,주술사,부여,F,171826192161646.0,890,무휼,주술사
차무식,2008-12-29T14:00:08Z,캐릭터_일반,주술사,부여,F,3.038997748602014e+16,899,무휼,주술사
겨울,2020-08-02T11:10:40.25Z,캐릭터_일반,도사,부여,F,3.2221271695556704e+17,899,무휼,도사
쑤피,2020-05-18T14:58:31.75Z,캐릭터_일반,도사,고구려,F,1.8172549041092824e+16,899,무휼,도사
적화,2004-03-18T22:09:42Z,캐릭터_일반,도사,고구려,F,2.5768735019812045e+18,899,무휼,도사
포터,2001-03-31T11:07:28Z,캐릭터_일반,도사,부여,M,6945183990601.0,896,무휼,도사
천사얌,2010-07-14T03:23:07.125Z,캐릭터_일반,도사,부여,F,7462762370034329.0,894,무휼,도사
시치미,2002-08-22T01:20:08Z,캐릭터_일반,도사,고구려,F,2387211073507107.0,892,무휼,도사
미인이다,2013-02-06T12:19:22Z,캐릭터_일반,도사,부여,F,8234528646742095.0,874,무휼,도사
영원,2023-10-27T10:37:57.375Z,캐릭터_일반,도사,고구려,M,4360404656365886.0,873,무휼,도사
광택,2008-09-15T11:12:30Z,캐릭터_일반,도사,고구려,M,6.757689660846748e+16,862,무휼,도사
조광,2003-03-08T04:08:24Z,캐릭터_일반,도사,부여,F,1.5822557598304074e+17,861,무휼,도사
찐함,2011-05-08T12:22:57.875Z,캐릭터_일반,궁사,부여,M,4.103244267555109e+17,899,무휼,궁사
상금,2015-11-07T13:08:52Z,캐릭터_일반,궁사,고구려,M,4.100931726854278e+16,899,무휼,궁사
룡궁,2005-01-29T05:24:40Z,캐릭터_일반,궁사,고구려,M,4.597138718998275e+17,887,무휼,궁사
한나,2009-08-07T02:39:32.5Z,캐릭터_일반,궁사,고구려,F,2.602474305792974e+16,879,무휼,궁사
리츠,2024-04-14T16:23:16.875Z,캐릭터_일반,궁사,부여,M,3.732595858238404e+16,871,무휼,궁사
벽리,2006-03-07T10:06:31Z,캐릭터_일반,궁사,부여,M,1.575873736699154e+17,861,무휼,궁사
헛지,2009-12-10T01:37:23.875Z,캐릭터_일반,궁사,부여,M,7865773272897115.0,859,무휼,궁사
칸로지,2023-11-22T12:36:53.125Z,캐릭터_일반,궁사,부여,F,1.2797724801833676e+16,820,무휼,궁사
유소망,2011-07-22T13:23:11.625Z,캐릭터_일반,궁사,고구려,F,2.236279454780387e+16,812,무휼,궁사
설경구,2024-12-18T07:20:40.125Z,캐릭터_일반,궁사,부여,M,1.938600243324728e+18,811,무휼,궁사
장동건,2014-10-07T14:23:05.75Z,캐릭터_일반,천인,고구려,M,3.435641140844577e+18,899,무휼,천인
하지마하지마,2013-03-05T00:22:39.25Z,캐릭터_일반,천인,고구려,M,2.51085576101107e+18,899,무휼,천인
천리스타,2015-08-08T05:43:16.125Z,캐릭터_일반,천인,고구려,F,4.287899391356393e+16,899,무휼,천인
연투,2018-12-23T06:14:23.375Z,캐릭터_일반,천인,부여,M,8.830199968503141e+17,899,무휼,천인
반요이누야샤,2013-06-14T03:19:22.5Z,캐릭터_일반,천인,고구려,F,3108185385011166.0,887,무휼,천인
밥도둑,2014-02-14T13:46:57.125Z,캐릭터_일반,천인,부여,M,8.357025468836851e+17,886,무휼,천인
때리지마라염,2015-08-06T13:15:36.875Z,캐릭터_일반,천인,고구려,F,1.1107434236983103e+18,864,무휼,천인
원지원지,2012-04-21T05:57:37.25Z,캐릭터_일반,천인,부여,M,1.0991646282880437e+17,863,무휼,천인
훔뱌,2014-07-27T06:40:13.375Z,캐릭터_일반,천인,고구려,M,4124511660490400.0,856,무휼,천인
애라찡,2015-10-04T10:44:41.875Z,캐릭터_일반,천인,고구려,F,5.093021272885065e+17,841,무휼,천인
꽃블리,2016-12-01T17:01:19.75Z,캐릭터_일반,마도사,부여,F,5014593988977829.0,881,무휼,마도사
기퍼,2021-01-21T03:56:59.375Z,캐릭터_일반,마도사,고구려,F,4.203662070648345e+17,872,무휼,마도사
머니넘레이드,2020-08-17T13:59:23Z,캐릭터_일반,마도사,고구려,F,1465282260943404.0,865,무휼,마도사
참새와독수리,2016-07-08T04:37:48.875Z,캐릭터_일반,마도사,고구려,M,1.019595562780245e+16,847,무휼,마도사
루놀,2016-07-07T16:44:30.625Z,캐릭터_일반,마도사,고구려,M,3.03654795568629e+17,832,무휼,마도사
능강,2024-08-09T11:26:44.625Z,캐릭터_일반,마도사,고구려,F,1.1682393928284772e+16,823,무휼,마도사
심보늬,2016-07-07T13:58:28Z,캐릭터_일반,마도사,부여,F,1.3506211207556754e+17,822,무휼,마도사
마도포기,2019-12-31T21:54:50.5Z,캐릭터_일반,마도사,부여,F,2.4821472466904445e+17,820,무휼,마도사
데탑,2017-11-07T11:25:00.875Z,캐릭터_일반,마도사,고구려,F,18352374581615.0,815,무휼,마도사
폐인,2016-07-25T13:36:45.5Z,캐릭터_일반,마도사,고구려,M,6.0464347412180296e+16,814,무휼,마도사
유이설,2020-07-20T14:32:11.5Z,캐릭터_일반,영술사,부여,F,1.782298784134866e+16,899,무휼,영술사
진레이니아,2019-12-31T17:06:22.375Z,캐릭터_일반,영술사,고구려,F,1.558005931023568e+16,899,무휼,영술사
으으,2018-12-21T00:31:53.5Z,캐릭터_일반,영술사,고구려,F,8.064984556838352e+16,899,무휼,영술사
자라,2018-07-19T06:26:26.875Z,캐릭터_일반,영술사,부여,M,127654578324786.0,862,무휼,영술사
곱네,2018-07-19T06:19:44.5Z,캐릭터_일반,영술사,고구려,F,108690984886645.0,850,무휼,영술사
가봉,2020-02-24T14:31:43.5Z,캐릭터_일반,영술사,부여,M,44584556614655.0,835,무휼,영술사
철쭉,2019-07-31T11:20:35.875Z,캐릭터_일반,영술사,부여,F,1.3910040373177213e+17,824,무휼,영술사
핑꾸퐁,2018-07-19T08:18:29.625Z,캐릭터_일반,영술사,부여,F,4.066918744850197e+17,824,무휼,영술사
기어,2018-12-20T14:24:46.5Z,캐릭터_일반,영술사,부여,M,3.5787145338662476e+16,821,무휼,영술사
쏘우,,캐릭터_일반,영술사,부여,F,2.0253785526079506e+18,820,무휼,영술사
신라,2018-08-16T06:07:56Z,캐릭터_일반,차사,고구려,M,8.505555887502304e+17,899,무휼,차사
미문랑,2018-09-19T15:50:06.875Z,캐릭터_일반,차사,부여,M,1.9668304184386592e+17,899,무휼,차사
섹차,2018-08-18T14:11:30.625Z,캐릭터_일반,차사,부여,M,1.1285549782123866e+17,889,무휼,차사
흑령만년원귀,2019-04-24T14:27:33.125Z,캐릭터_일반,차사,고구려,F,2.190584083409009e+16,864,무휼,차사
아레투사,2018-08-16T10:06:06.75Z,캐릭터_일반,차사,부여,F,120543628960478.0,864,무휼,차사
아랑,2018-12-23T12:33:51.25Z,캐릭터_일반,차사,고구려,M,7.72609596958917e+17,837,무휼,차사
핑쿠퐁,2018-08-16T05:32:33.375Z,캐릭터_일반,차사,부여,M,5.504496395746285e+16,837,무휼,차사
데여,2018-08-16T05:19:16.25Z,캐릭터_일반,차사,고구려,M,470685039833569.0,830,무휼,차사
꼬추,2018-10-31T08:28:58.75Z,캐릭터_일반,차사,고구려,M,7690470119093.0,830,무휼,차사
히바리,2019-01-12T00:10:18.625Z,캐릭터_일반,차사,고구려,M,3.0284001669982675e+17,821,무휼,차사
겸존,2021-12-22T19:26:51.5Z,캐릭터_일반,살수,부여,M,3384236281240855.0,899,무휼,살수
퐁크핑,2022-01-01T15:35:52Z,캐릭터_일반,살수,고구려,F,1.432024284623519e+17,858,무휼,살수
앤드류테이트,2023-09-08T10:07:43.625Z,캐릭터_일반,살수,고구려,M,1151480625592908.0,826,무휼,살수
쫄지마쫄지마,2021-12-22T11:26:36Z,캐릭터_일반,살수,고구려,M,3.164560287737911e+17,828,무휼,살수
짜여,2021-12-22T10:12:45.625Z,캐릭터_일반,살수,고구려,F,5404896445269309.0,817,무휼,살수
키눌,2021-12-23T05:01:53.375Z,캐릭터_일반,살수,고구려,F,1.3578312353096776e+16,813,무휼,살수
에일로이,2021-12-23T06:30:17.375Z,캐릭터_일반,살수,부여,M,1057146766984240.0,810,무휼,살수
박미혜사랑해,2024-04-21T05:18:23.875Z,캐릭터_일반,살수,부여,M,7.000457077724845e+16,810,무휼,살수
클롬,2023-08-24T17:23:52.625Z,캐릭터_일반,살수,부여,F,9.536647616490799e+17,809,무휼,살수
힝겸,2021-12-22T05:21:30Z,캐릭터_일반,살수,고구려,F,1.4702729783753366e+17,808,무휼,살수
리듬,2004-09-28T22:07:55Z,캐릭터_일반,전사,부여,M,1.565655046542568e+18,899,유리,전사
아야짱,2016-01-28T16:06:59.75Z,캐릭터_일반,전사,고구려,F,184344696721034.0,899,유리,전사
팬더,2010-12-08T00:34:10.625Z,캐릭터_일반,전사,고구려,M,2.953155891686658e+18,899,유리,전사
산냥이,2011-12-06T07:57:20.75Z,캐릭터_일반,전사,고구려,F,2.4707405042793564e+18,899,유리,전사
다마,2011-08-17T09:33:09.125Z,캐릭터_일반,전사,고구려,M,1.1192710716150122e+17,887,유리,전사
고리의도시,2018-11-24T08:17:56.375Z,캐릭터_일반,전사,고구려,F,1.928521691441498e+18,879,유리,전사
애니,2005-08-10T10:48:19Z,캐릭터_일반,전사,부여,M,3.5658495660017108e+16,875,유리,전사
쌍칼,2005-03-10T06:53:22Z,캐릭터_일반,전사,고구려,M,84993278140474.0,864,유리,전사
경환,2004-12-24T14:24:07Z,캐릭터_일반,전사,부여,M,2.571394428773497e+18,884,유리,전사
난동,2022-05-26T20:25:26.625Z,캐릭터_일반,전사,부여,M,3.3069040689064154e+17,839,유리,전사
싸이코,2001-07-16T05:07:19Z,캐릭터_일반,도적,부여,M,2.7851444460150016e+16,899,유리,도적
젠틀,2013-05-07T10:09:50.875Z,캐릭터_일반,도적,고구려,M,2.4685068503542354e+18,899,유리,도적
임프,2009-01-18T08:05:25Z,캐릭터_일반,도적,부여,M,1.628614363882715e+17,899,유리,도적
교당,2020-08-02T15:52:10.625Z,캐릭터_일반,도적,부여,M,2.1034727648241704e+16,899,유리,도적
제독,2010-11-01T03:48:11.375Z,캐릭터_일반,도적,부여,M,1.5750192484300058e+18,896,유리,도적
블루,2005-01-09T00:39:08Z,캐릭터_일반,도적,부여,F,4.5947235145722554e+17,894,유리,도적
금천지인패,2010-01-17T04:31:58Z,캐릭터_일반,도적,고구려,M,43288764221440.0,881,유리,도적
민지,2007-12-24T11:05:41Z,캐릭터_일반,도적,고구려,M,1.7214530655303602e+16,874,유리,도적
작은향,2006-06-24T09:23:08Z,캐릭터_일반,도적,부여,F,3.921734514217336e+16,872,유리,도적
술퍼,2023-01-10T13:47:19.375Z,캐릭터_일반,도적,부여,M,5406183077683751.0,871,유리,도적
자두,2004-09-21T03:32:37Z,캐릭터_일반,주술사,부여,M,1.577944262135751e+18,899,유리,주술사
강산,2021-08-09T13:27:16Z,캐릭터_일반,주술사,부여,M,2.9584028702677023e+18,899,유리,주술사
날때,2022-03-09T09:42:28.75Z,캐릭터_일반,주술사,고구려,M,8.566472473766506e+16,899,유리,주술사
츠카,2022-05-26T01:45:25Z,캐릭터_일반,주술사,고구려,M,1.2190046685792634e+17,899,유리,주술사
에로,2017-07-10T09:21:11.875Z,캐릭터_일반,주술사,고구려,M,5683982276639016.0,899,유리,주술사
