character_name,server_name,job,ocid
포맨,연,전사,d3c2bda905bda4fcdbf9a3b30972a233
신이내린한분,연,전사,6b7a4d4d779c8d55ea92ec4ae0ac14f5efe8d04e6d233bd35cf2fabdeb93fb0d
바리스타,연,전사,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
호불팔,연,전사,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
조루,연,전사,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
룬비연,연,전사,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
유하,연,전사,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
비화,연,전사,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
사탕,연,전사,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
사계절,연,전사,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
긴체,연,도적,c6e31a4fb353165809d32816bd18e5f0454174e45430f1270b6bf34c891e7d56
식객,연,도적,0d6ad201ad1c0b73236bbf5d5814b154
악동최민혁,연,도적,b66e10bada47383dcb4d909ff8aef3b286e68d4012202d0434d05f81868f68e3
군주,연,도적,e98fccecd9068b0fd8505cae509d608befe8d04e6d233bd35cf2fabdeb93fb0d
신검,연,도적,dc56152637609b744af81330e05f0d8cc47ea5ffea2564f587ca830a8f71acb2
비책,연,도적,50aa8185ce4e9004077e76ee0f2f947aefe8d04e6d233bd35cf2fabdeb93fb0d
르결,연,도적,8216912a829e5ba2f1d412cd2a92a5c2c47ea5ffea2564f587ca830a8f71acb2
패브,연,도적,846a3f4677004db866d24d5447568a29efe8d04e6d233bd35cf2fabdeb93fb0d
풍예랑,연,도적,3d3bd1b7d1e0a8f7e307ed50dce79a12
험무리,연,도적,e1958038f34326bf02bcab521c8b59a686e68d4012202d0434d05f81868f68e3
여래,연,주술사,2bc62c887d0d5d4306cbc21dc08e9a93efe8d04e6d233bd35cf2fabdeb93fb0d
특명접수,연,주술사,62b486cd347b3144f2298332f5962fe7fd842dab14be2a956555625b37c97bff
라임초,연,주술사,5fbeea0561bfcdcb83b967748ac7965aefe8d04e6d233bd35cf2fabdeb93fb0d
대설령,연,주술사,7a530f90bc3a48e7be9db3a5a3e2b87e2da93d5c29221676a4f60204ae56aeef
장미,연,주술사,61a17fb11453a0f2d27fc8ee91bdc0ca05ba2700bb342426ae6b1920c32d3e85
바태식,연,주술사,91634323686dd9109f49eb7209b4191d1ef93588062ec11a1c7cd54f458134fa
한방,연,주술사,f936e53832955f750ed3ed95ffe446fcefe8d04e6d233bd35cf2fabdeb93fb0d
슈퍼타워,연,주술사,ecd65071231fa5ee7717f445fef7c5edefe8d04e6d233bd35cf2fabdeb93fb0d
타코,연,주술사,b63eaafcdf89b266ca9771035b727af3d87665458318d481cf47ec2512ed4917
토끼당,연,주술사,cba36a7e502b65c06e7eecb5269aef46
정령,연,도사,38aa751daab7644ff20124a8308c0a94efe8d04e6d233bd35cf2fabdeb93fb0d
냠심,연,도사,c1b67b69f713e4ff0ae7908373f47e304723574b05820acf03e7ec3162ff5bed
그븐,연,도사,35a2676fbb2deb6e7a8cea8691142a16fd842dab14be2a956555625b37c97bff
율시,연,도사,fac72f54bc1f31a324d1863dfa0872b8efe8d04e6d233bd35cf2fabdeb93fb0d
미초바,연,도사,9ebf8b7157660e0630ab84e4db70d993
주황색,연,도사,c87cb5b724c71962beff87fc5f7bf9e0efe8d04e6d233bd35cf2fabdeb93fb0d
휴린,연,도사,0fd0c4aeaddd23fdd96ed777c5141656ee20e3c0428da3fc7dab0b059ad05b02
상담,연,도사,e80e27b0f49034c72a5c85bb3a68c4c5efe8d04e6d233bd35cf2fabdeb93fb0d
우웅,연,도사,d26814be5531f7b03ee556d39e76510ffd842dab14be2a956555625b37c97bff
귀문킬러,연,도사,4769eced31668d5b0333eabb3146ef7aefe8d04e6d233bd35cf2fabdeb93fb0d
정리,연,궁사,eb0b3d6e54b3da7f8c033defaa96b01bbf233c14caef05126d9450b92f31a21d
빈지노,연,궁사,563c3d345017f177876212e1b6e378dbefe8d04e6d233bd35cf2fabdeb93fb0d
김망붕,연,궁사,d8f2a5d3c915cc611cba581b1e73613cefe8d04e6d233bd35cf2fabdeb93fb0d
설마,연,궁사,c115580988d69a3db3f5931d3495ecd0efe8d04e6d233bd35cf2fabdeb93fb0d
세련,연,궁사,f5c96748bf0f7e75d7b05858a3149d718295750b1f4857867454debc45ec9c8a
연우,연,궁사,cd0760e0ac1cd5a6127c4ca940406809aae77432709819edb959e1fd5d1d77b4
마크,연,궁사,f982ccacf175dbf4ebb2861d571c5905bb189cd87cb2829fbfcc092210b551a6
착송,연,궁사,38c0ffe8b0d32a138616e009f2d2e92a8bd883fbc13e757dd9c58e84decaf6e5
비화이,연,궁사,840530afc8d5c014c28889246f0592c98f63c2350f51a64c61992fb5f2c6008c
쏜당,연,궁사,41db9f2e849b91b4522b13596ae0e7190ec8fa2d7ca87c6b387e478ba6588b86
반지,연,천인,37e3e5e21c4d5f85d1e4a3724b02756f
광휘,연,천인,5c13523872aa668110e22c08fa5bf74eefe8d04e6d233bd35cf2fabdeb93fb0d
검귀,연,천인,df05513ed0d4519feea958bf0a5a7683bf233c14caef05126d9450b92f31a21d
이번,연,천인,7be71c69934116649effc6b0998a451cefe8d04e6d233bd35cf2fabdeb93fb0d
괴물,연,천인,d48330ecf9744bb57187cb15efdc8e33
느좋,연,마도사,545359b584d7bbaafbcbd81f33c315362c80a75b10a900bae7267f7b22c88765
시시,연,마도사,36f511cce49a0ecd3afc57849c8ba983
서비,연,마도사,66287c60f8349dba4c88a40d9d32c6e7efe8d04e6d233bd35cf2fabdeb93fb0d
나연,연,마도사,a90f4092bb9dda27d14450566baae6214723574b05820acf03e7ec3162ff5bed
호랑,연,영술사,73b336b2df54c08baf7d155d17de677eefe8d04e6d233bd35cf2fabdeb93fb0d
연합,연,차사,d9690646060cd60c8f757345eb4613c826bbb1153700a9b857f046dce582b327
비룡,연,차사,504a44dbeabf92b8eaafab2b703ece47a9095ac89f9c94363a672f18fb20b644
척곤,무휼,전사,a9828c58581756794020940a795ac583744f8665c0f46d782101e43b22fc6a95
성심,무휼,전사,7e5af631932eea5cbacff61907c85abb88de902d347d3238816ade4d024798b9
묻더,무휼,전사,224beb7eccbb414278342e3595bbac459dc2468fa6a44afad93b0682f1132ca0
또준,무휼,전사,c76d578e8c47f4ae95a1467e3987cc388bd883fbc13e757dd9c58e84decaf6e5
연민성,무휼,전사,3be94812736195b91bcc3bc826166058ea7c1d356bf726ea6434cb608de205c7
채굴왕혁이,무휼,전사,222edd388b374b62c2f478cef92b7df9befd54165deedc51a58ff6bb77a5ee18
벚꽃,무휼,전사,6649dd249fd9e5b57ab13ef6bf4230e76fbb98200a15be5bcc73a64995849e9c
무사의검기,무휼,전사,1919c3d373a87bcf4c70d6dd05dde24e5175320715f501e34f071ef47caa74ac
강수성,무휼,전사,3be94812736195b91bcc3bc82616605847b293988cca26a39554c463455bfe88
린룽,무휼,전사,9847ec267385b4d7178704408673ed622f0ce1c254a7892be3855230dff531f1
강수세미,무휼,도적,3be94812736195b91bcc3bc826166058680331e3e35c60b0d1bf00c815e05955
사신,무휼,도적,a6b3f2a8239fe63c471e72b75889db10c73803be4f250591e1a8c33f2cf191f2
머니넘조아,무휼,도적,cea3efa72234ef624c109abcf2ef94eb804ec41b968ad24f49fe8dbc6aded16f
테라,무휼,도적,7ed76b1d4fc369b5b0719af107c3b1f1e19d72da277665010cfbed89d2ae443b
영혼,무휼,도적,32a83927827a6adbb65ed52982b58f9cd74597df79e65eb0e762e8a7d848447e
불커,무휼,도적,26774dbae72b7e062e8e0079708b2c8dcd4f387f417f538930eaf558d44956fe
유원지,무휼,도적,79f43ed4e68b03c6ffeb1e6f2924d5bf4da58b52531dba53d0bce3a93b78d7c5
미스,무휼,도적,38441da553014f720a9145492482a29e285b9373074b35ab510ac56899968390
역전,무휼,도적,909e4a1454bee79f2d33d3df7305fce8c87713a390fc39cd3ce4bda4c14d7a1c
로로,무휼,도적,3dd96c3a072017151e51163b1985523cda85c981e6f6c70048f960f3aa75b57f
염병대마왕,무휼,주술사,8955c646754c7c83e6ad590f085c9fecadf35062f1ac1f3de2c07ccfe0d30942
아세르비스,무휼,주술사,c27c037e6834c68bf34939e4b7fbc5582c80a75b10a900bae7267f7b22c88765
들호,무휼,주술사,700ee9549d95d38cba3c70ecb68bfc4304a92ab23a95a82a2e98e9c3db87507c
앨브,무휼,주술사,07202a165e9dbc3dc56101c8f30d6c24e221eb359c7f40f8ae500e9f112ae201
기포기,무휼,주술사,8d802ca3e529848e84ae6865343afcaabec7474032a45ed478659ded5568b8f3
시기,무휼,주술사,5a2ac51fe2e0f394a925f5c45bd5669679db86a84b5f676822184a876a9cfbcc
체리,무휼,주술사,3d647a8be37dd844ad0c74e1801f9e2228ff9685cfc119839fcc341613e04501
방아깨비,무휼,주술사,2871f3d79eb9d112c5c75d02a8282514c2f0c5ca839e232980a1ea598fb0fe0e
낭락,무휼,주술사,c209ed5a25fd364fac21ca202f60706a28ff9685cfc119839fcc341613e04501
차무식,무휼,주술사,a0b57a178e7e14dcc697b7efcdd4728f5b0bf2c50406f4718ab7e60195194222
겨울,무휼,도사,93f14cc891a0a9be00da899905c59bf0f23b180acff70a792079407d613c8e3c
쑤피,무휼,도사,5fdb216ef4b11ffceeb13b0646c359fa93168c65821ed1beee14d5c9b29492fd
적화,무휼,도사,9eece397ba6d8a44ebaaa9ceb47cb70f16640f133349997ef9d9176312435c54
포터,무휼,도사,468ef448c7327dc3f49a10c106408209e811f5ec2471d767341141652a5ddbee
천사얌,무휼,도사,d0444571cd71d1f5afc1d8f3e3037cc94256e674f51067bf31b7b0a280b2b318
시치미,무휼,도사,37258263f41ed7b9bd4e74cf0755d25e8f63c2350f51a64c61992fb5f2c6008c
미인이다,무휼,도사,8d92af8eb234721ff7c4eac4fd97e3e0db044692f1d171178b0bff0e7f98a558
영원,무휼,도사,3be94812736195b91bcc3bc826166058ad1e3732c52609589cd9047e27c9f776
광택,무휼,도사,7cc85e7d23ed7dfadbf6298f3f2faaee15a88269cdcfae63f9d800e5b2679a00
조광,무휼,도사,298d3631632c562cf2e996f98818521a88a892b6020f4cd162661debbf10edd0
찐함,무휼,궁사,64d92b713e471e336b0143b36876fbcb2874d02fe60db04cef8f682ca01d09e0
상금,무휼,궁사,472d82904bddce8671a1f763d87baf162697b3e9e0a270b9eeecc686c04ecfe0
룡궁,무휼,궁사,b2e9c732ab70662686356af68bb9c9b9ec03378eac3163afc82a0bb139d2d564
한나,무휼,궁사,79755c460bc729691bfe83b0da25f68f5755d58a067c18cb4877199099d6f64e
리츠,무휼,궁사,3be94812736195b91bcc3bc826166058f1d80c4b56ac86621460cabd9580915c
벽리,무휼,궁사,6c1b3a0400ead7941c338484b76e35cbe0e9bc1c0abb522e3b6c28a3679b5b1a
헛지,무휼,궁사,b0513e5239634cc0299cd6ae2c5808ceaf3c67bec2c8976c611a76dd794327c6
칸로지,무휼,궁사,3be94812736195b91bcc3bc826166058cd9ccdbc47629f53e1a73e502358e4fa
유소망,무휼,궁사,f003a3b12e09ee62f0f1604a21f687963c3b6387e1baf6e7144b719f291c6812
설경구,무휼,궁사,3be94812736195b91bcc3bc8261660584922fae541b6f43db0960eb489616248
장동건,무휼,천인,f5c7c2de093f397e3131242eea5e4ec49c4668c7065013d153fe7263e63c041c
하지마하지마,무휼,천인,c3990e60a8ce23ab527f2f61202fa667c131e9de8b295af0d26bb298e91da305
천리스타,무휼,천인,2ae1bef72be4aadccfb8b1a8ab463b669b9c42154fefd7b366d8f5c4affbebf8
연투,무휼,천인,bc2e94d5e6cf7869c2486e141e035f1c59e228811fec59855e09edf5c79db85f
반요이누야샤,무휼,천인,a7d30fa990ef1c9283200de00dd0b697630a5affea3ab61e251f69b860a055ff
밥도둑,무휼,천인,2b1a6a8051fe1a5b2feba4e2be2d022f8295750b1f4857867454debc45ec9c8a
때리지마라염,무휼,천인,84c4073d8d60afe64d7bd61d9d2230d285275aea5b2426bb17224395f821108d
원지원지,무휼,천인,bf6827a0519022d8b8ee9166f17cd659262ad2410c168a1a6ea914ca2fc792b9
훔뱌,무휼,천인,78597d325893870d73875b0f9865f1bafd842dab14be2a956555625b37c97bff
애라찡,무휼,천인,902482be57301a278156a70c44aa91217af71c9a4c74607ea8967b6724b47d93
꽃블리,무휼,마도사,a25aadfe0bdffde99c4809358f17de4671c94507011f02c594a92cf9fa14bd4a
기퍼,무휼,마도사,3be94812736195b91bcc3bc82616605859cdf6ee4404ab1280ff9988b3ad2a67
머니넘레이드,무휼,마도사,ff5ca042942aba26e6e17f6ffd2be231448c19e31eea651442972a58d78276ec
참새와독수리,무휼,마도사,a691dc6e0c7a0254042dfe436eec527a71678b0e9a6ad93e065520d4186e7637
루놀,무휼,마도사,a691dc6e0c7a0254042dfe436eec527ad9071fb5fee736b238ae71496aaf03ec
능강,무휼,마도사,3be94812736195b91bcc3bc826166058dd00002086cd6fee05598cd3358286eb
심보늬,무휼,마도사,a691dc6e0c7a0254042dfe436eec527ab4922bbd67f8ea6d5a7c8c4f0ced459d
마도포기,무휼,마도사,91465fe6f30ecaa51597aa2cfefa02c36f6e4fa117200fbc95eea9863b0d5f96
데탑,무휼,마도사,5a2ac51fe2e0f394a925f5c45bd566968ea0409b5f1afa3b4cb04e0f21f5ed5a
폐인,무휼,마도사,a529b8342fbf40da3ef992ab10fed8d39bbca414833aa18b2eb56d2bb9fba68f
유이설,무휼,영술사,47170b1e901116231f1e3ce62695294a762c1196c5b3535b1e5d35d92763b093
진레이니아,무휼,영술사,91465fe6f30ecaa51597aa2cfefa02c38efa681c745f4ac47dea1a67e1322615
으으,무휼,영술사,50f7e3da3c884ce7dcab112cbf158007b588a2c661cd658cf99ebfd533d49ca7
자라,무휼,영술사,e9812cc82ba121fa31b2401ae8227c9b15dfbef77b4c815773be4018e05c77ed
곱네,무휼,영술사,e9812cc82ba121fa31b2401ae8227c9b077a48ff97d8a053efa79c02a5072523
가봉,무휼,영술사,222edd388b374b62c2f478cef92b7df9a9d73423c22dd7cac4654497702f6361
철쭉,무휼,영술사,a0be38b3781c8706b4be7a82764e145a6a8f93343f990ba26ebeae318af30153
핑꾸퐁,무휼,영술사,e9812cc82ba121fa31b2401ae8227c9b48457c64d7fb6d6b26d7b1e493c8dfd6
기어,무휼,영술사,50f7e3da3c884ce7dcab112cbf158007312727ca9735a9bcb2e2437ba46af81e
쏘우,무휼,영술사,65295b1e4871442d71a81b0ef69d561c3b57fd32b10f6214251c05b905aef05f
신라,무휼,차사,78651642972b397fe20646cc408c9457cbc86c6836bb3f56f95834231989a1d8
미문랑,무휼,차사,2cbacc66aea48586d445375d1c98883ab593c413915dcc03a207adb702c1a8ec
섹차,무휼,차사,5aa91de7452aaa04908f735e7bfbcdbb7adf5741edcbacaa8de08d7d7a2efce6
흑령만년원귀,무휼,차사,f8ce9fc39c64ac0da6d67f79095611c41e1687070fdaf0269d958ec3e1d06939
아레투사,무휼,차사,7a15fa20e870691f84286ef8c128e54489d90475ec312cff21b7d0899e08e8cc
아랑,무휼,차사,bc2e94d5e6cf7869c2486e141e035f1c1922239bc6b168b78795d1dcbbd736f3
핑쿠퐁,무휼,차사,78651642972b397fe20646cc408c945778f7176406f5b549b2a9cb5c2fdcf1af
데여,무휼,차사,78651642972b397fe20646cc408c9457aba03e10656b5f5437f926b7e65de056
꼬추,무휼,차사,e576b30602faf19bfa627ba82ea733ff5d4979c2daafd0eeb47936944df0cc3c
히바리,무휼,차사,e21cd59b787733bdc0c9d6a25837d4d01f894935ca4e6bb1de4efd919b227633
겸존,무휼,살수,3be94812736195b91bcc3bc8261660582cc254a675f0196fb4e22bd80802c873
퐁크핑,무휼,살수,3be94812736195b91bcc3bc826166058a8a9cf38bec0644ebe4c5007305d5a08
앤드류테이트,무휼,살수,3be94812736195b91bcc3bc826166058fd90560589e7c63639cf781532863938
쫄지마쫄지마,무휼,살수,3be94812736195b91bcc3bc826166058e51fb9973e2c17cf910f81ccbb0c1299
짜여,무휼,살수,3be94812736195b91bcc3bc826166058d2d840e66f046fc6476e56399119fde1
키눌,무휼,살수,3be94812736195b91bcc3bc826166058b632295a22bac06f4826c11a34536ce8
에일로이,무휼,살수,3be94812736195b91bcc3bc82616605871c12197daa2c515abf05a05a640d6cd
박미혜사랑해,무휼,살수,3be94812736195b91bcc3bc826166058eaf331796600ada8c72c645643b688ce
클롬,무휼,살수,3be94812736195b91bcc3bc826166058dad7124d45488448ddc683dc4aabdf6c
힝겸,무휼,살수,3be94812736195b91bcc3bc826166058a2753b9bb17497ee458c54a0db7a3371
리듬,유리,전사,1408aa551ee8cd71c4abb1edd8594daac47ea5ffea2564f587ca830a8f71acb2
아야짱,유리,전사,2fb58f8ad4aefbf8aee5f8be16ace772aae77432709819edb959e1fd5d1d77b4
팬더,유리,전사,a19e918c7ad9a401beaea09c55806caad63a5a325db8fafce5f1ce5bbc2bcc9f
산냥이,유리,전사,c35ff7536089928a874a9e652d7e504f88d2005e52f22091028a50e909f648bd
다마,유리,전사,8299e7106df9de3b155207cf84c4c5d32cfe742d1c4e2aff62757ad6138020b7
고리의도시,유리,전사,c6cd261b85bec98650e6e6f6552616152d8a31889eeae1cd74b598a1d559d189
애니,유리,전사,13c3621bc5f9662a3a54e32842fcd07cf010c724ac34fd2bf446afaa979c1330
쌍칼,유리,전사,0d77e1b5741ca9633e8a9739f4a153545133251b15f2faf3f68acf93492ddfc1
경환,유리,전사,9b11f4fa64c2661dede328082a45be22fa95aa9463f0f985b2a02fddc8e9948b
난동,유리,전사,8539794a0d45cb494ae006e185475ceea9daa0725e7c0b1841718a5420a77202
싸이코,유리,도적,7f71958330a7f9ba9a494f354b469191cf9edf72d2cfc20d9a1e29904442bc0e
젠틀,유리,도적,dd0ec5491b10bae7effcf3af06e27ccd09136a7c8dc2ff6d6886b20b5189de3d
임프,유리,도적,d0e96aaba17353a495de3b1d39df8f1af3903ca952c4d7f2c6f0fac1e60c9513
