grade_ranking,season_grade_ranking,ouid
1.0,7.0,9b2852e25a85deebc5ce4173b1ccc1e6
2.0,12.0,18e17412f97995c818b669bf4052a753
3.0,320.0,1dde487186c06c2f54e65484219d1d09
4.0,8.0,bc0a86cc5d24182a2e09a2d29644e205
3.0,79790.0,5d84519cf2b0e9c3d69ec23a4a859e12
6.0,9.0,332522192aed72ca90aaa95d90e1b08d
7.0,123591.0,273812858150a28424d56f440a5b1499
8.0,2371.0,7fab3087eda49357ee067c51b8f8b3eb
9.0,4090.0,fb59b9ebe43ffd9d6b8b5aa9e33b97b3
10.0,130.0,b54f2c11425549c9a0309f8f8876dfd1
11.0,35.0,5b73ce7ccce4e2aa1966c49c83780b47
12.0,29.0,580ef4be741c2746e671fdf05205e546
11.0,9466.0,63bbb405e661019a480b7c0648e84590
14.0,84.0,502bf3d1c519055efd7b4e7313ccefbe
15.0,7657.0,f093eae67469de7498e7b3bd3de80713
15.0,41.0,c48ec5e498103c87505a145734df2f4d
17.0,4750.0,ca080f89fd0f8978f867f2799572d1a6
18.0,72.0,be8178231c717712201d9191605362ab
19.0,57.0,e570c51ad87baaab53dce767c701c3d3
20.0,2153.0,5ae9a0aba72b7bdbfff9cf7b1ab12079
21.0,3061.0,2203c145161ac614f582061d62c5748e
22.0,397.0,5108872b4333bb22a48517638cd4fbed
23.0,80.0,5deaa01e89f395a90815102bd8137fb7
24.0,1109.0,e26863167555673a1b52bff349a9893d
25.0,235.0,b93f28b48b7637450e70fab96a4498da
27.0,10070.0,a1c13bf09c5566436919baefd49038e8
28.0,13.0,0ed71d04383bd12216b14b614d4a41f2
28.0,12880.0,1fa1b70d5b3de816520ba1a99e485191
29.0,439.0,096a3023fe20810eca6aee054c84f357
31.0,350.0,e8105bc04e4a48451d1ef5b73bf7cb02
33.0,757.0,642e49d62b7644ad7f9987aa1980e51b
34.0,44.0,f636440af24b8e6e095e307046fd738a
36.0,855.0,93e261a22fb8c6651a418d580373708d
37.0,2727.0,0632880a7c4e164b272fac72b73aef0f
38.0,493.0,e0fd923c800e5441b8cf515f9f8abfe0
39.0,284.0,179879ae0cf5c184af64bab0f0749930
40.0,60.0,29cfc86dab1c4680759c313ec902b391
41.0,329.0,b4e0181bbb6b7cdc8cabef599b6cbe22
41.0,118.0,b7f9fe7314d5322b7db588ee6319da1f
43.0,182.0,e05575c8814953055ebc988160718211
44.0,6342.0,9f038c1ff07cbc6414e976fffbb154ef
44.0,231.0,531a427051aef493c2560eff1afe91cf
45.0,3772.0,8305224838a1c14f6837270527050c16
47.0,355.0,2ed5e828450f875917887a085c84d918
48.0,345.0,8d5612676718a14fade04f2cb91561c0
49.0,268.0,648fbbc694e660a33b8cef0cbae3f1d9
50.0,132.0,12ae316087ba4a9e3ea486120d61efe7
53.0,1517.0,27717da7b2d71df52896180856ccbea8
54.0,84.0,55f3c861f0b35e0633e647c476cb795e
54.0,147072.0,99bf573152209e7f1cdf6db6bedc772f
55.0,34.0,6d5edf92a4ea7f3d18c806c00a3c9593
57.0,46.0,0d9807ab206e5a2172f57ec9f50bea98
58.0,203.0,dc0559231f37697e31549b40fd7de706
59.0,725.0,284876168e1a9d0eda99ab4b771b5286
60.0,361.0,1baf251696168578cce1d408fa8e4f55
61.0,15.0,834284fa6e7cf65914a7cde283a21b08
62.0,913.0,82235398864c70779300daea913744d3
63.0,3990.0,52c7326c888b04902d01f399fb912a14
65.0,28.0,cfd88abbcc74eb55941d6723fb95dca8
66.0,384.0,38906987f54adc55e11fb32f4ea76cf2
64.0,45.0,d7369b912c3b1bbbbef83a1f2cd3b28d
67.0,281.0,72ae7ade509d482f7b5aef7450ea073e
68.0,1095.0,4b72c0667ec35b31a29fbcf957fe9570
68.0,270.0,593d755a6bb13d9838ac833d32f7fce2
70.0,66.0,ab52d88c8fe807829a92e597cb96e841
71.0,147.0,45b1a2043c7c65ed1e199fd1ddb185ba
72.0,1152.0,2761c3d84c872da16a42327ef1f77afa
76.0,581.0,f63e0a98179008ae19faab242211fa02
78.0,378.0,a985f820f03659e122385ff11646af73
77.0,26.0,018eec186511a63ea86738c7799252e0
79.0,481.0,06ac78845d5e6fe1df8cfd564e6c1234
81.0,6.0,d8073e6267b2c16c9a9997e546d9b201
75.0,2.0,f83605e5fb8eafbf8257291088840791
82.0,121.0,67e18db111ba767dba205c9e0f508bac
82.0,167.0,e6ac81dd9c38524bb494689d315e9fd9
83.0,411.0,46a6b7706dddde2fd761220d91daccdc
84.0,111.0,f33ac3bc20179d08fd3320f33ebfe242
85.0,309.0,e017c1019117b828bcbea77f55f506c7
87.0,470.0,30a3ec8484ddb8426f5a0d1d7cf86584
68.0,43765.0,2733455b1b1c04a6614483e86404d594
88.0,476.0,2e7780aea1fd653770023cc67cb946cf
90.0,410.0,2ce42ac3d20ab0bcb21b72ff6675ecba
91.0,1123.0,a8f3e2f4ad589abf83ac9febe5a36453
92.0,22264.0,26c6ef281b80c34f703a378b34568d80
94.0,1199.0,16650f3a8db2d4f4f06f38fb97b67247
95.0,818.0,5f5eef029527bcd41e71832d0ef7f570
71.0,53810.0,123d200947d6d2f5bd5619f4a4bbec68
97.0,841.0,1b0c58caa535ce8c3478d1163f624cd7
98.0,1534.0,ae2b0a6d046e21bc22e91816ef5e44ca
99.0,2001.0,d6cece07c765e0242e9cadccbb84c6f3
101.0,524.0,69c6272c668d9161e20b246a17c53863
101.0,3107.0,8970504ec5284edfe946feb968f236de
103.0,1731.0,b3ce20e4e1b749d2ea7b9c5bd8ea6d3a
106.0,760.0,1d8ba77e386d4d1f490834345f368143
105.0,10012.0,ea36a0969328927ce4e7ded3976d1fac
107.0,390.0,ab6b970c0d8478a70c80a944de5e33d4
108.0,187014.0,28ecd94b3460d7b3fe9f9d05e5710427
110.0,123.0,9f1e4ee0b7189cbf26f61d406a4384f9
111.0,100.0,0d6653ed2159cb510c14af9c4141ec5b
113.0,193773.0,ca9f424f0d15f5cacdfe92ae739ea3fa
112.0,257.0,fc44cb28f2fed2c506495ee7d12712aa
111.0,115870.0,847c6e4a25a0ae9da06542b8b34e01d4
116.0,147.0,8e1780ebc367c8305e7c667bb7af65a2
114.0,1922.0,282635d7a7febf09f6c6b75d2b4e53cf
117.0,125.0,fbe05878f8cab4157b041b81814c73fd
119.0,2709.0,4b1e12a61248eea9ea7f78f71da6b86b
118.0,352.0,20e33b6b3e0e957df549b3dd6ebf689d
121.0,46550.0,9a8e0f12855b23c60c1ebe54564e226b
122.0,179.0,1ebc186e9f889fa3974a406aa09fc829
126.0,1902.0,73fda248ff16eede5471edd2d0cc9359
120.0,173.0,ccd01264eed929b82d4003fcdce85736
125.0,17.0,fc68a32950692ff790bd92cb066a64f0
126.0,2321.0,502b6e40e6cef4db201a588c20f73977
61.0,55640.0,805397ecbb640a9e4188a9baf1b2eeb6
129.0,5190.0,54426b475bfc0c84eba9e490bd0ecae6
131.0,38136.0,28881b22e56d1ebbf792d94f5fab6ed2
132.0,20212.0,b50e93b420473990d23459de55b61203
134.0,483.0,0f9cfab8569741459e9c2a440df4a74e
135.0,90.0,829b554a9d54873ddd2c8d14efe96680
105.0,1305.0,c66ffea284872e0abf389280359bc617
137.0,16274.0,f790fef8b19ccf53a5b32fafb52ff105
138.0,2007.0,a562d72f5e2a91814cde18aa5a0c9b97
142.0,727.0,ee09be66fcfd5a10672223d9f542585c
141.0,371.0,a5cd9595e1f9325195c08629431ab9ea
142.0,559.0,79d0d4fffb37ce1d0ddf808c8cb63b60
143.0,4198.0,3228306efc0137bdce36418c13d941d5
144.0,172.0,5eda75df3f580125d4c030740706d92e
114.0,96066.0,efd30cc1a1301bbfcc00e83592078a2d
148.0,40139.0,d2729e3ed99e1d97c04922997c004454
149.0,9832.0,f74b18622a190cf8775f51425dc76faa
149.0,620.0,3fac0580bde1babab2d7882d677f9109
150.0,114.0,1179776494b4eb74195cad8b5cc050e1
152.0,74.0,f07e16a0ce9a959946e7fe8c2043b76c
153.0,773.0,2bf7afe25cb698532546956df11d218d
154.0,3815.0,2439b139a720b2aa9e46321db1d911e3
154.0,423.0,fb776a5feeb22fb219b0beb05051b0a2
156.0,1805.0,946e6a8ae5c8e4d24316d601d65eeb31
156.0,357401.0,ba9b226a5c6c8b7218fd953a8e6cf3f9
76.0,480594.0,5e02207be883f93c9316ac6df946d31e
160.0,78.0,d6f659e89208ee013e6aef11c10601d1
158.0,1004.0,59fcd3e4826eafeb22b1179c41154b8f
159.0,839.0,1fff781cdee150846edb0af047652fee
162.0,10564.0,8a4bfd624198c6c3b55bf09d1145298f
160.0,7754.0,5594bf19111070d9a401dbac94109eb4
164.0,372.0,b138e96334c3b6c78429957f1a89fcf6
165.0,869.0,210deb06fd9f19e4c7d6efe375be86fa
166.0,287.0,ea9dcba8dc3df6ed62c637312c48c9f0
168.0,3379.0,d0c4b0df4a10a9f1c1f0a04ba967bd6c
169.0,128.0,cba5c21892ab6a7949c43e6bca8dc2ef
170.0,3534.0,b9282b1da17861088b498afa293b4cbd
172.0,27.0,7424384d13b5aa1e704a0220554dee97
174.0,23743.0,fa976579eadf100f90b338fe6820b16e
175.0,159.0,a518db4eb352ff7e09024feed780d13c
176.0,678.0,1213498adefba92baa7138aa0d050f6c
161.0,2346.0,a3d2c63f909d41e560d737e14b321c27
177.0,163353.0,8f9819acb514684d86c035b284e10dba
179.0,288.0,6071f4ba0b6ad1dda855fd54d8bf5c35
180.0,291.0,534414ff89625147b46d0c64f00e4c10
166.0,528.0,3fa406b1f01251972b9d546fb6a1ef7c
181.0,164208.0,ba1625893c7b8ebc87465063e425eb57
183.0,3627.0,88c7f7e8a7f346d0ab66a9dda0e2c546
184.0,3608.0,6325bd2d0907dafffebac93f0c269e61
185.0,100075.0,41d82f5534d2f219e1c420d033128a7b
186.0,16.0,baeaec85232b7b59b2b63ef351cd14e3
187.0,100.0,8c27d951126ddba12ccf094b4b5fb4f4
188.0,568.0,8b7819156453522073e2495d5797bae3
192.0,253.0,6bb067c0c60ed2c6af5dec07bac5d9ba
190.0,347.0,d374c0582818c96c8d7067ca77f4ebfe
191.0,587.0,840d8fa05aee75879a025c415b3676a4
194.0,4007.0,52f676ce655a9acb1327d8b6bee93d54
196.0,113.0,cb031642fb9aa50c876d60b817863622
197.0,2947.0,0a00dc2b0546bfcd6798fc4be772e0f9
197.0,87.0,9b63f37be284b9e4205dc7a4645cd528
199.0,1306.0,f54e2bf3c577aa3fd50578bb2c1937f9
200.0,374.0,5447b3b22b84ace082f92dc3a437bc9b
201.0,3820.0,41272652c2bba3865dfedda24a59462d
202.0,10480.0,b487ccabbc0f02100ecfadffe835167e
191.0,7812.0,80a2dc0ea59dcef5b0aad82253ff3e6f
205.0,359.0,143925a0a08e52bd4b289dc0d3085074
206.0,1663.0,b4310b7df4769789e53d240aeb9dea55
208.0,757.0,c355552a42729bb3aa3cc584ed86e20f
208.0,8623.0,facb4f6b8c5a1767bf1cdb41d540a65b
209.0,9553.0,b93854f026f31513b2c0848b12bb3c60
210.0,10933.0,16b9d109db50a18337285465fd68780d
204.0,99869.0,107f952ec161efb1dc760ae6c2c265a0
212.0,623.0,080fa4a17acb6e0ffc9b400e558d5f7e
213.0,652.0,6acea493211b081c51f4c199d3f3edfb
215.0,537.0,5f71d06c9977b636adbf845704df861d
216.0,1017.0,9d9ec39dcd7edfbf7d696f941b261cb1
217.0,136465.0,fbf3838823e5d15cf12cc6b7d2e992f5
218.0,887.0,8b840e410c22ff7473087de302e6e94a
219.0,620.0,9fee5c44ee2fa8d902edd2c9456f8f2d
219.0,394.0,0514a90b73e94dcf8c13d85dac3caa15
222.0,4328.0,0c84d3f430b4d23ae22934557b980d00
224.0,1590.0,45afc9eca26756f58065d0a5b93a0312
224.0,102.0,cad95c4868e351237a0de4cac3e6cc03
225.0,1363.0,29b8e3f898515cc4e787b2ec74d12068
213.0,107160.0,6cbc6bc425b56afcb65094f7eed20be0
227.0,1467.0,d9591b826db8d611f4eed014791889c6
154.0,693246.0,f9a482a58290fc0a3f833a95315a2aac
229.0,152.0,a0d13ac7a3d778fe8680c842313f018f
230.0,268.0,ace637a4977e50b44d59ab29042afbd0
231.0,135.0,7b4ccdd1a45d058dee208afb8ae7646f
232.0,550.0,e1a184b3d7fe960bac87efeb0fc0f5cf
228.0,1740.0,93b63931984005b6b24d0b213b46f61b
,,d91f14c9f0f5e27fdefd745b5c154a0c
236.0,261.0,c2f3058e2bee05bf17911c847fc827bb
237.0,417.0,3481be46ed14b44101755ea4a326e9cc
238.0,214.0,c849050595d81e8fbe5eb34dade47db7
237.0,12976.0,d735ddb457a0d137c6c46d8153eba39f
239.0,1044.0,f36d846979fe2aaaac0de203bc1c111d
237.0,1580.0,42623e037e749483cdc4ecc20652003f
232.0,332550.0,d307763fd209492574ea383046a1275e
244.0,1205.0,0136f10d0f040ceb86007bbb3ef41231
243.0,85.0,d0646bc50cb2f86d8ca25dfb0e851de4
245.0,39258.0,92ddc79a54a31a4191d2da3105a5f37a
250.0,1807.0,f85891777cd6744f68468ab0574de536
224.0,24716.0,655b40d2133c458bdb9930103960c61e
247.0,510.0,4f2aa7cd9dc3c389968b51f17e4d7235
247.0,84938.0,e429485f98c96d823a27a38a592f5feb
253.0,8545.0,120cc58a11edef06fb75e79e387c2047
245.0,356575.0,e4f1a94eb732f69c784e91776c71f5fc
257.0,491.0,bf8be389fa47776e0f61b7faa8d85d0e
256.0,462.0,8613d37706c65dd87efe3c258c4b249c
258.0,299.0,6a912fc219accde193dad9ee3e6595cc
259.0,89350.0,8dd711c6930202ec3c10fc3a310d1277
260.0,7505.0,2bef6f4102311b3ecf7ffc9a28c430cd
261.0,1186.0,5a16d5c007deb76ff4f3bd6bc85fa89a
263.0,454.0,3df995f5c9e2595073ab5c9474e19bc9
264.0,401.0,26661f4f5ddcb8469a87ceeee34f4ae9
265.0,30788.0,20d7ef5a5f0c9027a9832e9f73980e53
266.0,230.0,3b9b8b6c99701e425ada3e0fc72322c1
267.0,1137.0,d733e39cf5503960fb9cd0579d9890ad
268.0,812.0,22084df93879de54941beef010532acf
268.0,105.0,74f29f7711ab53794b07fe5912d6c12a
270.0,310.0,4395282272057620eb2458efacbfd9d6
206.0,19561.0,1c7b3bb48bc506576e712675cee0eb3e
272.0,20922.0,8b8435e18faf9002798dd6242f6e5d36
273.0,138.0,1b582f36ae431ec43cc2d2dca0bf339e
274.0,9242.0,5d85bab69f1f6eff7758de6f45da1c3e
275.0,2657.0,fc1a6eab9f421be155b7b9146335c44e
261.0,190688.0,b380b2a67742eb44a200cb585e74d7f6
264.0,1199.0,02d81b50de0ce438c9c21fd76ad53655
278.0,632.0,f2088cb91ccd358567adeacfd672ef53
279.0,13436.0,f9e93a0b2fec7db438bd28f6925a2f70
279.0,1113.0,dea48f896861786eed777dea79e29f98
283.0,45517.0,e351bed0bd52e941c62b4df47399581f
280.0,1846.0,7de1c247f0885a830cac74c8afca4560
283.0,413.0,1e0fd0ab10b5c4ffbb14770326588d8d
284.0,715.0,6029cea7766c06729f455389d0641624
285.0,302.0,a88da456e8efee6b05e559ae3ab9fd5b
286.0,39.0,5a1b09eb3fde9715e9fffb075ea8c0b1
287.0,93.0,967f6b9bea9fbcad115ad36953447b64
288.0,3527.0,9bd7d64578221963e442a931e5d4d89e
289.0,11796.0,44e182a35389fa081f00b2e82819159a
288.0,10181.0,e9dac9c57af35bd8cf434e6239a9fc3f
291.0,1395.0,579146791d26cea6e11c6f7649f957b7
292.0,3061.0,5915ed69ec8a8c2be7c3f4fbbfdfee40
294.0,2620.0,dd58a01cd9a23c6bfd068d0258eb4e72
295.0,30.0,a69148eef542904110a495c48b4bb35b
259.0,872460.0,47f564778ee893c688a7adc4c303c103
297.0,232.0,fd85308f3987feb460bb34be92c75386
298.0,573.0,a187d175f943f8b6bf1ab0e69a13826f
300.0,381.0,46ed743c39fea43c228dec42f3a771a6
301.0,78131.0,91842acf8ddae9170361dd4b91021175
302.0,86931.0,c5085490bfe6925f4d8d902d3fd996ae
303.0,1803.0,0405878b861ba46a0ecd961ac737963e
300.0,13041.0,4bb997a7f1c21ab2c681cb52408b771f
305.0,66.0,01e418adbb180c3899de0ae34dd9789f
306.0,615.0,b749cda7cd2f3182664ca89224fb2929
307.0,1493.0,8a586766e35a66b12e61adfe77ee3345
308.0,290.0,57d78b214f2d3d3c026215be9528efff
309.0,874.0,8fcceda225ce8b77ecd48ef844b0793f
312.0,60749.0,ec3300d4f9f4f1be32d7e082ebcb6d19
311.0,1832.0,5a7cf65265ee9966eface4ee8c8fbfa6
313.0,2107.0,e5719b82d752dcce65256e444a540958
298.0,3509.0,284c18d64828530106ef73d63c9bc077
281.0,252296.0,0f0cf6a689653b28c6d704c777cdd570
308.0,1482.0,51dd016337e371792658cf53057b9cc5
315.0,707.0,ab5e7b1c66e61c0371d0fb5f3b78154b
319.0,709.0,2d4702d5ab3a7cc1a4001a51ba9404e8
321.0,123231.0,38e8c109e706516de047c5902d4e0f70
321.0,385.0,19104fa876bd2ff725f3995f5a478910
324.0,1241.0,de627e2940d2ceb5d6fab2a738b9d860
325.0,17749.0,766cb6d70a56870a31b58101bf4747f6
326.0,3041.0,8be5f3f717818b7eba82149d02ea4f7e
327.0,9763.0,6c4df67c8bba255a4e464dc04d941427
328.0,176.0,99d97d9d16a681cd89d1e7c827a27911
331.0,926.0,ff1fb9a283d02bc12a4059b277cb9cd3
326.0,2846.0,770d6e0d64e4e40b3c6e06321bdb69ed
332.0,4132.0,be40d1d729e5d2a12ab77d236f7ca645
334.0,654.0,bd785e176ee9a3a7a8d837288a42caed
319.0,1434.0,983948af2a5f8cc5762fdaa785a87782
335.0,106.0,d45038d8ff32f9ed5d7f01294af5d68c
336.0,18945.0,8557c91e7291dc04631f23efb066b733
318.0,1948.0,e39b66d3d5b10c1bc98839097223a881
340.0,1473.0,7cd4503eafa357b776a83f1ece8f39cb
348.0,843.0,b6478724e45edc5a3c1a68fc1d246d0d
331.0,21511.0,f6d3c6d822465963c15439aa8f5250b3
343.0,1220.0,a88385953efcd6198fe30874dd875fb7
344.0,1.0,f31bdc2e6e5a7b749b4aac527411ffc3
331.0,565.0,36c99bc038ba198c2fc0b2ca59a17815
326.0,2203.0,7a06c09e0dce5bc8ea1ab40d00d12a49
344.0,685931.0,c2bbf914c13636dfa119709d763910fb
345.0,129.0,1e65f341d5d1db5e414c9352193aee1d
349.0,173.0,5991780600f8706dc8d603fb28bdf5e2
315.0,184334.0,bf552b1d6edb03a8086be13a6907911f
328.0,227582.0,3912b69b1ab7f0287e6b2ad9cdde5e40
350.0,2208.0,4927311908b62f04caa5153ecd5c1d1b
352.0,3033.0,18e436caf38fb4823d3ef33e9eff0982
351.0,1013.0,be7f9957de91e2e0233992bbee3c97f0
350.0,1111.0,7571c5e2df7391194cf1ec02bdce1845
356.0,988.0,03b94b4aaed378998f8c6055c996895d
357.0,797.0,3cef12825374dcc0c3499ef15e0cbba6
358.0,3291.0,c9d298982642462d026007f4f93474f3
359.0,189.0,97c838b8dadb430fe0cf8409fb6f24d4
360.0,1570.0,2ae56582b589550bc1ffbdd5859e4605
361.0,1166.0,109a3c427e092d6b0b3844800e2c0e1a
362.0,10080.0,03fa501341a2fa63848ed2f931d05141
363.0,708.0,604b39adfef0824e2bb1510f17644a08
365.0,312.0,817d474f8c723f028ec53466dbcdcbde
367.0,2933.0,e420541c6cac9d6b58f720d801078e01
368.0,350.0,bc358a102f4f4681069b4cf9c8a91c6e
369.0,9416.0,d4d54ff399e02a884c3a29b8d0f76bf7
370.0,1881.0,25c304ecd1f3bbd17e8bd5daf3f8791a
371.0,2436.0,71bdce0088162edbb6db96ed1d2d0820
372.0,4619.0,e6cf6e73d7262f61dca66df7e3ac2305
373.0,94723.0,79d56f4f87627e7c3f899ef16a2324b7
375.0,6317.0,895d02c1a9dab3a32ba0d65b374e9355
375.0,37567.0,f10f25fd064f7e23e426cec4af93aab1
376.0,40.0,cd0254b25571248cae1523b5b723c187
377.0,69221.0,5100560b5127802c827f73f7db6b5299
377.0,503.0,cfcdecb3308e7d631634c5b082791071
375.0,6456.0,607a2be8ce2321f1a38711652dcd6484
380.0,1507.0,855523a27f6961ae1bae148ed358e897
381.0,530.0,3929f14f59315fa59ee3404358bd8aad
382.0,55.0,92bb3f9ffbcd4f1c0a0ec8d60d33f14b
384.0,1498.0,438ed68efaecdc65677febe6b757d194
385.0,4893.0,9be965c7427ca308dc628447433913c8
387.0,455.0,fa5fb4b9ec24ddd10908ef975f2f0108
347.0,725036.0,c4f8eef70a3592eee199425c27efe5f1
388.0,7267.0,71abaae01aba3f3afb32d075022665c9
389.0,1621.0,964f3b777df0d000f66308224379f15f
390.0,950.0,003d0b600c59e36feaa73cca3994a408
368.0,10561.0,012e622254f0024d03b6e88db7b62e22
355.0,5275.0,91e4969aae0041b5fcf1de8fa5b7b046
394.0,1449.0,783e3b46481bb0f7dfd6b6557399ff81
392.0,327.0,88c7e238d0b187259e62a509337014dd
396.0,1551.0,9e7f7390f9f0fecaaf9517d0cd52db47
397.0,5613.0,1e51738d7e451a9790159ccd29f2043d
398.0,755.0,21ecc9d162b6976e6874812bd89db38e
399.0,939.0,0d6f8e5a184ac089ce34bf48f3003c38
400.0,277.0,c86960708b3cfcbfef81b0620a013753
398.0,18161.0,98415bb884faa7fc2858cfa84886f0df
402.0,594.0,8dfdfbefaee6a09dffe9450d037278e8
390.0,6661.0,32ec9fa271c7a520e296dcd797ab5eeb
404.0,2228.0,e437dc6081c673df101bfb2ef1265a33
405.0,4678.0,59b07f21113db19afff601f1bd24bb4d
406.0,2970.0,38541b3bbc59a53af3339e84e2312dda
410.0,7650.0,e7f3d3cb8427626f3e983665e28c33ff
409.0,2272.0,c7abe05310ed565ee8c74b417416ea51
410.0,7473.0,8e58ae8e743fdd1be3c4aa49959503bd
411.0,976.0,dd68a8d4c783ce05fc92057d53af4f9b
412.0,3017.0,a1f11bafc78171b7d2a216de6150e47b
411.0,1236.0,f920c51fcb7ecc8b120d554b4a5f9923
414.0,4562.0,7d05df80fdadf9898a261510704664ba
407.0,769.0,cb48f1c74757213dbe23fc643c1d0be3
416.0,1221.0,540000743f96e893dc467965c9b95d72
417.0,5051.0,f8f98fcb83b87b08b56c4d113a8456ba
418.0,243.0,a78800746a3fdb23e46ea90423516adc
419.0,134180.0,67ec1445c0b712067c75ff994702b533
420.0,1196.0,89078f1bbb3a60bfee94c6e621989379
337.0,284860.0,0b3c531f07dbcf15100e4b9d0dff5a8e
422.0,101118.0,3151975af5744631a41901c96ab7e189
423.0,511.0,a0a3b0f9e45f8fb84798a40f1290ca6b
424.0,1542.0,cab8ee42b8c50ad8f460d5675489caa8
425.0,6046.0,495695c5186471ba0636d8c3e6278d4d
427.0,3550.0,1cf448a29585aa7b2a4cd3d389a50af0
439.0,692.0,42f4fd9548b009767dab36495c8d75b8
430.0,15856.0,aca1ff1b37b1fe852ea2782c424ef2cc
388.0,22013.0,5b587064099e9c92d1d2b1b73f92fa8e
431.0,545.0,b46d3e07cac4798c5bbf7853d794e3da
411.0,366029.0,6013b18cbe747226982a104a6b5fbe0c
433.0,2119.0,d23fe1632f3f21fee4c632bf3739c501
435.0,17977.0,68f96715bc9e2320d83eb33d48b3bf1b
438.0,2043.0,dd887e6b3b0469d264797b4b49af34fe
438.0,6389.0,74d5bc3607a6b9b9ba8b06cbbd28222f
439.0,804.0,adda23744c9d4f133aab21426a1ef9ee
435.0,240.0,a8b730d005d5417fb5905504bf4aef0f
442.0,311.0,bfe219d139e6cbccb92905d99b8ded8d
443.0,17649.0,4eaa7db077f085c49e230ba22f230837
444.0,5734.0,9f2d24ab630bdf5b4dafc148bd13cc39
445.0,1080.0,c0c4e6388a7add5e8a171f9fa5890d68
434.0,28219.0,10042a44c97f01d174179ea76ed6a6bc
447.0,1843.0,a1346cebd83fcc934ec274a2e91c843a
445.0,4063.0,e2cf2aa4a908a07bad0c8bb84576eee3
445.0,10056.0,026267d573f2631b2a77202b0d5c6469
448.0,2431.0,06ff99b3d2e5ece5f7ec458f6b48c996
451.0,162.0,4ed792e406b193ce14bff2281d3387f4
451.0,3332.0,7dd215c992f4029e4cc10b36f5d9d72b
453.0,710.0,dddc62da484a1e417b95c9403236df77
454.0,34606.0,502bd6a28f44826f3dace4ac09c60af2
456.0,76816.0,f759e275f208c68c55a5915cf79a3559
456.0,805.0,3cf7b28b5abdb6688f9de5653f994c69
457.0,4041.0,6e4a4e8883700d65afe24ca42723613d
458.0,3252.0,f763ab73e1b8d8a7fb8be880a341675a
459.0,743.0,527b0076d85741b44114ea5939fe7bd0
395.0,86168.0,4ae4a57c9ee04fe5246d36c72b940f8a
462.0,1326.0,f334c37e0c7c6f118143a1d7af3ccc25
460.0,1918.0,ee2e7f2743688fc61381dff85de3f337
463.0,583.0,c511d5f4a0a3f79c723f09bb59edaeab
464.0,422.0,809157a89d859de8c3d41dbb25856620
465.0,1910.0,9133015a117b0505796f407562676187
463.0,2194.0,a8184e34117b44e70acd86dc2a32e192
467.0,881.0,3ce2315d183df77820031321145de21d
